TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,PRESSURE,TEMPERATURE,VOLTAGE,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,TILT_X,TILT_Y,ROTATION_RATE,DESCENT_RATE,PAYLOAD_SEPARATED,PARACHUTE_DEPLOYED,CMD_ECHO
3042,6.0,6,FLIGHT,ASCENT,32.5,1009.48,24.99,8.38,28.613889,77.209152,32.5,8,4.2,-2.4,2.4,-9.5,0,0,NONE
3042,7.0,7,FLIGHT,ASCENT,41.1,1008.36,24.63,8.38,28.613899,77.209159,41.1,10,4.4,-1.8,10.3,-9.2,0,0,NONE
3042,8.0,8,FLIGHT,ASCENT,48.9,1007.24,24.8,8.37,28.613998,77.209136,48.9,11,2.6,-2.2,-4.1,-9.1,0,0,NONE
3042,9.0,9,FLIGHT,ASCENT,57.1,1006.52,24.53,8.37,28.613927,77.20919,57.1,8,2,-2.4,-0.7,-8.3,0,0,NONE
3042,10.0,10,FLIGHT,ASCENT,65.5,1005.27,24.67,8.37,28.613887,77.209289,65.5,8,0.6,-2.6,-6,-9.7,0,0,NONE
3042,11.0,11,FLIGHT,ASCENT,72.9,1004.75,24.67,8.37,28.613967,77.209228,72.9,11,-0.2,-2.8,-9.5,-9.2,0,0,NONE
3042,12.0,12,FLIGHT,ASCENT,79.9,1003.77,24.34,8.36,28.614007,77.209266,79.9,9,0.8,-2.8,1.9,-9.9,0,0,NONE
3042,13.0,13,FLIGHT,ASCENT,88.3,1002.78,24.55,8.36,28.613927,77.209167,88.3,11,0.8,-2.2,12.2,-9.4,0,0,NONE
3042,14.0,14,FLIGHT,ASCENT,97.1,1001.59,24.37,8.36,28.614007,77.209243,97.1,11,2,-0.2,-9.8,-8.6,0,0,NONE
3042,15.0,15,FLIGHT,ASCENT,105.3,1000.98,24.22,8.35,28.614067,77.209213,105.3,8,0.6,-2.2,-10.8,-8,0,0,NONE
3042,16.0,16,FLIGHT,ASCENT,113.1,999.81,24.06,8.34,28.614057,77.209289,113.1,8,-1.2,-1.8,-0.4,-10,0,0,NONE
3042,17.0,17,FLIGHT,ASCENT,121.7,998.85,24.19,8.35,28.613958,77.209388,121.7,8,-2.8,-0.8,2.2,-8,0,0,NONE
3042,18.0,18,FLIGHT,ASCENT,130.3,997.94,24.25,8.36,28.613918,77.209465,130.3,12,-2.8,-0.4,-10.1,-9.6,0,0,NONE
3042,19.0,19,FLIGHT,ASCENT,138.5,997.07,24.14,8.35,28.613878,77.209388,138.5,9,-3.4,-0.6,13.4,-8.7,0,0,NONE
3042,20.0,20,FLIGHT,APOGEE,698,933.42,20.3,8.34,28.613779,77.209358,698,9,-2,1,14.5,0,0,0,NONE
3042,21.0,21,FLIGHT,APOGEE,696.8,933.55,20.43,8.33,28.613838,77.209365,696.8,10,-1.2,1.8,13,0,0,0,NONE
3042,22.0,22,FLIGHT,APOGEE,701.6,933.17,20.24,8.33,28.613847,77.209442,701.6,10,-0.4,0.6,-7,0,0,0,NONE
3042,23.0,23,FLIGHT,APOGEE,698.6,933.4,20.38,8.33,28.613878,77.209342,698.6,12,-2,1.2,15,0,0,0,NONE
3042,24.0,24,FLIGHT,APOGEE,703.6,932.7,20.29,8.34,28.613798,77.209419,703.6,9,-0.6,0,4.8,0,0,0,NONE
3042,25.0,25,FLIGHT,APOGEE,700.4,932.91,20.65,8.33,28.613868,77.209358,700.4,12,1.2,1,-4.4,0,0,0,NONE
3042,26.0,26,FLIGHT,APOGEE,701.4,933,20.52,8.32,28.613859,77.209297,701.4,11,3,1.2,-13.7,0,0,0,NONE
3042,27.0,27,FLIGHT,APOGEE,696.8,933.6,20.59,8.33,28.613929,77.209388,696.8,8,4.2,0,-8.1,0,0,0,NONE
3042,28.0,28,FLIGHT,APOGEE,696,933.79,20.5,8.32,28.613899,77.209442,696,10,2.8,1.4,-6.5,0,0,0,NONE
3042,29.0,29,FLIGHT,APOGEE,699.4,933.07,20.27,8.31,28.613969,77.20935,699.4,12,1.2,3.4,0.9,0,0,0,NONE
3042,30.0,30,FLIGHT,APOGEE,703,932.82,20.37,8.3,28.61396,77.209411,703,9,-0.2,3,13.9,0,0,0,NONE
3042,31.0,31,FLIGHT,APOGEE,700.2,933.18,20.39,8.3,28.613969,77.20951,700.2,11,1.8,1.8,-1.5,0,0,0,NONE
3042,32.0,32,FLIGHT,APOGEE,699.6,932.94,20.53,8.31,28.613939,77.209472,699.6,8,1,1,-3.8,0,0,0,NONE
3042,33.0,33,FLIGHT,APOGEE,697.8,933.14,20.52,8.3,28.613948,77.209434,697.8,12,0,0,-5.1,0,0,0,NONE
3042,34.0,34,FLIGHT,APOGEE,697,933.58,20.37,8.3,28.613998,77.209381,697,9,1.2,-0.2,9.4,0,0,0,NONE
3042,35.0,35,FLIGHT,APOGEE,700,933.05,20.33,8.29,28.613967,77.209388,700,9,1.8,0.2,4.9,0,0,0,NONE
3042,36.0,36,FLIGHT,APOGEE,698.8,933.23,20.58,8.3,28.613986,77.209289,698.8,9,3.8,0,11.1,0,0,0,NONE
3042,37.0,37,FLIGHT,APOGEE,702.2,932.96,20.64,8.29,28.613887,77.209327,702.2,10,2.4,1.4,13.6,0,0,0,NONE
3042,38.0,38,FLIGHT,APOGEE,699.4,932.97,20.45,8.29,28.613897,77.209289,699.4,11,2.6,-0.4,-9.7,0,0,0,NONE
3042,39.0,39,FLIGHT,APOGEE,703.4,932.53,20.51,8.28,28.613906,77.209358,703.4,8,4.2,0.8,2.6,0,0,0,NONE
3042,40.0,40,FLIGHT,SEPARATION,702.4,932.79,20.25,8.28,28.613866,77.209281,702.4,8,3.8,1.2,5.9,3.3,1,0,NONE
3042,41.0,41,FLIGHT,SEPARATION,700.2,933.28,20.57,8.28,28.613836,77.20919,700.2,9,4.8,2.4,14.9,3.1,1,0,NONE
3042,42.0,42,FLIGHT,SEPARATION,697,933.43,20.43,8.28,28.613845,77.209121,697,8,5,3.6,-3.8,3.8,1,0,NONE
3042,43.0,43,FLIGHT,SEPARATION,694,933.71,20.51,8.28,28.613945,77.209144,694,11,3.8,4.8,-13.8,2.3,1,0,NONE
3042,44.0,44,FLIGHT,SEPARATION,690.2,934.38,20.43,8.27,28.614044,77.209236,690.2,9,2.6,6.6,3.8,3.1,1,0,NONE
3042,45.0,45,FLIGHT,SEPARATION,687.8,934.59,20.63,8.27,28.613994,77.209144,687.8,10,1.6,7,12.4,3.9,1,0,NONE
3042,46.0,46,FLIGHT,SEPARATION,683,935.02,20.46,8.27,28.614074,77.209182,683,12,-0.4,5.2,2.7,2.8,1,0,NONE
3042,47.0,47,FLIGHT,SEPARATION,680.8,935.16,20.55,8.26,28.614164,77.209243,680.8,8,-0.8,4.2,-3.4,2.1,1,0,NONE
3042,48.0,48,FLIGHT,SEPARATION,679.4,935.61,20.5,8.26,28.614105,77.209243,679.4,8,-0.2,4,-12.4,3,1,0,NONE
3042,49.0,49,FLIGHT,SEPARATION,676.6,935.77,20.78,8.25,28.614135,77.209312,676.6,10,-1.8,4.6,3.1,2.7,1,0,NONE
3042,50.0,50,FLIGHT,SEPARATION,673.8,935.88,20.68,8.26,28.614215,77.20922,673.8,9,-2.4,3.2,-3.8,2.5,1,0,NONE
3042,51.0,51,FLIGHT,SEPARATION,669,936.81,20.55,8.25,28.614116,77.209274,669,12,-0.4,4.4,-3.2,3.9,1,0,NONE
3042,52.0,52,FLIGHT,SEPARATION,665.2,936.98,20.6,8.25,28.614206,77.209236,665.2,11,-2,4.4,-5.8,3.8,1,0,NONE
3042,53.0,53,FLIGHT,SEPARATION,660.4,937.31,20.75,8.23,28.614295,77.209243,660.4,9,-2.4,3.4,-13,3.3,1,0,NONE
3042,54.0,54,FLIGHT,SEPARATION,659,937.91,20.7,8.24,28.614326,77.209175,659,12,-3.6,1.8,8.9,3.5,1,0,NONE
3042,55.0,55,FLIGHT,SEPARATION,654.2,937.94,20.91,8.25,28.614286,77.209205,654.2,8,-1.6,2.6,11.1,3.9,1,0,NONE
3042,56.0,56,FLIGHT,SEPARATION,650,938.75,20.81,8.23,28.614276,77.209281,650,10,0.4,2.6,-8.8,3.4,1,0,NONE
3042,57.0,57,FLIGHT,SEPARATION,650,938.55,20.57,8.22,28.614366,77.209381,650,8,0.6,2.8,6,2.2,1,0,NONE
3042,58.0,58,FLIGHT,SEPARATION,650,938.65,20.57,8.22,28.614316,77.209472,650,10,-0.4,1.4,15,3.5,1,0,NONE
3042,59.0,59,FLIGHT,SEPARATION,650,938.85,20.87,8.23,28.614217,77.209503,650,10,-0.8,0.8,-8.6,3.4,1,0,NONE
3042,60.0,60,FLIGHT,DESCENT,642,939.39,20.97,8.22,28.614227,77.209564,642,8,-1.8,0,7.2,8.8,1,1,NONE
3042,61.0,61,FLIGHT,DESCENT,633.2,940.41,20.78,8.21,28.614177,77.20951,633.2,11,-2.4,-0.8,11.6,9.4,1,1,NONE
3042,62.0,62,FLIGHT,DESCENT,624.4,941.44,21.08,8.22,28.614147,77.209411,624.4,8,-0.8,0.8,7.7,8.8,1,1,NONE
3042,63.0,63,FLIGHT,DESCENT,615.2,942.71,20.88,8.22,28.614177,77.209419,615.2,8,-1.2,2.2,5.6,10,1,1,NONE
3042,64.0,64,FLIGHT,DESCENT,605.8,943.65,21.24,8.21,28.614128,77.209495,605.8,8,-1.4,2.4,6,8.3,1,1,NONE
